gold_price,Time,price,Estimated_transaction_volume,market capitalisation,block_size,number_of_transaction,Mempool_count,Mempool_size,Confirmed_Transaction,google_trend,mining_difficulty,hash_rate_via_BTC,Transaction_fee
162.91,2020-05-29,9424.8,814330.0,175534414971.32306,1.34352728985507,292927.0,16004.453125,38604968.328125,292927.0,38,15138043247083.0,92882000.95950736,2.36918688128054
163.66,2020-06-01,10189.3,796680.0,174105710752.04755,1.05190532,258427.0,6352.723958333333,10327773.494791666,258427.0,38,15138043247083.0,102234702.44501317,2.2550053508218
162.6,2020-06-02,9527.6,1060000.0,186932702065.96875,1.05190532,258427.0,9328.5,6931117.083333333,258427.0,54,15138043247083.0,102234702.44501317,2.2550053508218
159.6,2020-06-03,9667.2,558120.0,175463166971.51956,1.05190532,258427.0,9328.5,6931117.083333333,258427.0,43,15138043247083.0,102234702.44501317,2.2550053508218
161.28,2020-06-04,9794.4,593660.0,177416480472.83005,1.23647156291391,318285.0,14260.036458333334,17036556.770833332,318285.0,42,15138043247083.0,102234702.44501317,1.90321315927668
158.01,2020-06-05,9631.2,527050.0,179830985954.85498,1.23647156291391,318285.0,14260.036458333334,17036556.770833332,318285.0,40,15138043247083.0,105288528.1766404,1.90321315927668
158.01,2020-06-07,9742.6,549200.0,177901732349.93213,1.23647156291391,318285.0,3563.53125,1984254.7760416667,318285.0,37,13732352106018.0,105288528.1766404,1.90321315927668
159.72,2020-06-08,9777.9,431040.0,179167717944.46164,1.15165127777778,317275.0,4075.71875,2492963.984375,317275.0,37,13732352106018.0,105288528.1766404,1.27630329010085
161.26,2020-06-09,9768.8,479550.0,179810911053.20026,1.15165127777778,317275.0,4075.71875,2492963.984375,317275.0,38,13732352106018.0,112208528.24468684,1.27630329010085
163.57,2020-06-10,9878.8,533550.0,179709840753.7975,1.15165127777778,317275.0,4940.921875,3236767.265625,317275.0,38,13732352106018.0,112208528.24468684,1.27630329010085
162.39,2020-06-11,9283.2,919300.0,181705166673.57465,1.15165127777778,317275.0,4940.921875,3236767.265625,317275.0,41,13732352106018.0,112208528.24468684,1.27630329010085
162.62,2020-06-12,9466.6,529280.0,171615707160.27472,1.3554732208589,318274.0,5286.65625,16352616.651041666,318274.0,38,13732352106018.0,112208528.24468684,0.88455687970373
