Time,hash_rate_via_BTC
2020-07-15,122915681.28235176
2020-07-16,122915681.28235176
2020-07-17,122915681.28235176
2020-07-18,122915681.28235176
2020-07-19,116374944.77118148
2020-07-20,116374944.77118148
2020-07-21,116374944.77118148
2020-07-22,116374944.77118148
2020-07-23,113943058.68242148
2020-07-24,113943058.68242148
2020-07-25,113943058.68242148
2020-07-26,113943058.68242148
2020-07-27,124043956.85751176
2020-07-28,124043956.85751176
2020-07-29,124043956.85751176
2020-07-30,124043956.85751176
2020-07-31,126308844.8531762
2020-08-01,126308844.8531762
2020-08-02,126308844.8531762
2020-08-03,126308844.8531762
2020-08-04,122154894.82121404
2020-08-05,122154894.82121404
2020-08-06,122154894.82121404
2020-08-07,122154894.82121404
2020-08-08,122274537.22554436
2020-08-09,122274537.22554436
2020-08-10,122274537.22554436
2020-08-11,122274537.22554436
2020-08-12,122886223.95061506
2020-08-13,122886223.95061506
2020-08-14,122886223.95061506
2020-08-15,122886223.95061506
2020-08-16,129075393.19033508
2020-08-17,129075393.19033508
2020-08-18,129075393.19033508
2020-08-19,129075393.19033508
2020-08-20,123363117.03448936
2020-08-21,123363117.03448936
2020-08-22,123363117.03448936
2020-08-23,123363117.03448936
2020-08-24,119993197.73988862
2020-08-25,119993197.73988862
2020-08-26,119993197.73988862
2020-08-27,119993197.73988862
2020-08-28,122017801.8251035
2020-08-29,122017801.8251035
2020-08-30,122017801.8251035
2020-08-31,122017801.8251035
2020-09-01,122817197.05918723
2020-09-02,122817197.05918723
2020-09-03,122817197.05918723
2020-09-04,122817197.05918723
2020-09-05,122817197.05918723
2020-09-06,122817197.05918723
2020-09-07,122817197.05918723
2020-09-08,122817197.05918723
2020-09-09,127930089.15456907
2020-09-10,127930089.15456907
2020-09-11,127930089.15456907
2020-09-12,127930089.15456907
2020-09-13,135233596.35173258
2020-09-14,135233596.35173258
2020-09-15,135233596.35173258
2020-09-16,135233596.35173258
2020-09-17,137347966.3056256
2020-09-18,137347966.3056256
2020-09-19,137347966.3056256
2020-09-20,137347966.3056256
2020-09-21,139904505.85300225
2020-09-22,139904505.85300225
2020-09-23,139904505.85300225
2020-09-24,139904505.85300225
2020-09-25,133839259.63432512
2020-09-26,133839259.63432512
2020-09-27,133839259.63432512
2020-09-28,133839259.63432512
2020-09-29,138259695.98178923
2020-09-30,138259695.98178923
2020-10-01,138259695.98178923
2020-10-02,138259695.98178923
2020-10-03,135516448.04564264
2020-10-04,135516448.04564264
2020-10-05,135516448.04564264
2020-10-06,135516448.04564264
2020-10-07,136429165.52396673
2020-10-08,136429165.52396673
2020-10-09,136429165.52396673
2020-10-10,136429165.52396673
2020-10-11,140610835.70341173
