"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2022","172.23","172.21","172.53","171.39","6.95M","0.64%"
"05/31/2022","171.14","172.71","173.07","171.08","6.24M","-0.99%"
"05/27/2022","172.85","173.49","173.52","172.64","3.85M","0.05%"
"05/26/2022","172.76","172.13","172.93","171.76","6.47M","-0.18%"
"05/25/2022","173.08","172.79","173.16","171.73","4.60M","-0.60%"
"05/24/2022","174.13","173.47","174.41","173.35","6.79M","0.75%"
"05/23/2022","172.83","173.13","173.38","172.28","5.52M","0.47%"
"05/20/2022","172.03","171.71","172.24","170.89","6.58M","0.07%"
"05/19/2022","171.91","171.55","172.52","170.89","10.58M","1.47%"
"05/18/2022","169.42","169.01","170.21","168.81","7.47M","0.05%"
"05/17/2022","169.33","170.44","170.53","169.14","6.44M","-0.63%"
"05/16/2022","170.40","168.43","170.43","168.34","7.32M","0.95%"
"05/13/2022","168.79","168.31","169.62","168.01","13.03M","-0.81%"
"05/12/2022","170.17","172.07","172.40","169.90","11.56M","-1.53%"
"05/11/2022","172.82","172.51","173.32","172.20","9.16M","0.82%"
"05/10/2022","171.42","173.80","173.96","171.20","11.00M","-0.84%"
"05/09/2022","172.88","174.27","174.27","172.79","10.74M","-1.45%"
"05/06/2022","175.42","175.39","176.56","174.86","7.64M","0.17%"
"05/05/2022","175.13","177.56","177.61","174.66","12.79M","-0.38%"
"05/04/2022","175.80","174.32","176.35","173.67","10.49M","0.98%"
"05/03/2022","174.09","173.89","175.21","173.85","7.21M","0.26%"
"05/02/2022","173.63","173.61","174.65","172.98","14.32M","-1.85%"
"04/29/2022","176.91","178.07","178.60","176.72","7.72M","-0.01%"
"04/28/2022","176.93","175.92","176.96","175.69","6.38M","0.54%"
"04/27/2022","175.98","176.46","176.64","175.50","8.85M","-0.76%"
"04/26/2022","177.32","177.95","178.30","176.91","9.04M","0.15%"
"04/25/2022","177.05","177.15","177.51","176.49","12.95M","-1.80%"
"04/22/2022","180.29","180.72","181.60","179.74","9.15M","-0.97%"
"04/21/2022","182.06","181.77","182.32","180.77","9.64M","-0.36%"
"04/20/2022","182.71","181.59","182.72","181.35","7.04M","0.49%"
"04/19/2022","181.82","183.19","183.65","181.33","12.38M","-1.51%"
"04/18/2022","184.61","185.95","186.10","184.39","8.89M","0.31%"
"04/14/2022","184.04","184.28","184.41","182.88","11.57M","-0.33%"
"04/13/2022","184.65","184.50","184.94","184.13","8.63M","0.48%"
"04/12/2022","183.77","184.04","184.64","182.96","11.97M","0.77%"
"04/11/2022","182.37","183.17","183.33","181.11","10.02M","0.50%"
"04/08/2022","181.47","180.52","181.82","180.52","10.66M","0.63%"
"04/07/2022","180.34","179.87","180.88","179.80","10.12M","0.38%"
"04/06/2022","179.66","179.78","180.31","178.70","8.94M","0.23%"
"04/05/2022","179.24","180.91","181.49","178.93","10.79M","-0.63%"
"04/04/2022","180.37","180.24","180.81","179.58","7.01M","0.48%"
"04/01/2022","179.50","179.55","180.46","178.98","13.03M","-0.64%"
"03/31/2022","180.65","180.91","181.96","180.56","9.68M","0.04%"
"03/30/2022","180.58","179.76","180.92","179.68","8.26M","0.80%"
"03/29/2022","179.14","177.02","179.33","176.69","10.16M","0.04%"
"03/28/2022","179.06","180.38","181.32","178.85","9.33M","-1.82%"
"03/25/2022","182.38","181.81","183.13","181.35","7.91M","-0.41%"
"03/24/2022","183.13","182.35","183.51","181.77","10.51M","0.73%"
"03/23/2022","181.81","180.29","181.89","179.76","12.53M","1.37%"
"03/22/2022","179.36","179.60","179.71","178.32","9.62M","-0.73%"
"03/21/2022","180.67","179.33","181.29","179.32","10.58M","0.76%"
"03/18/2022","179.30","179.93","180.93","179.04","14.00M","-0.88%"
"03/17/2022","180.89","181.16","182.03","180.65","10.89M","0.49%"
"03/16/2022","180.01","179.13","180.12","176.87","17.38M","0.63%"
"03/15/2022","178.89","179.10","180.27","178.01","16.94M","-1.87%"
"03/14/2022","182.30","183.03","183.29","181.95","13.19M","-1.51%"
"03/11/2022","185.09","183.74","185.78","183.44","14.82M","-0.70%"
"03/10/2022","186.40","186.88","187.38","184.99","17.55M","0.31%"
"03/09/2022","185.82","186.04","187.23","184.76","26.80M","-2.97%"
"03/08/2022","191.51","188.35","193.30","188.26","47.26M","2.74%"
"03/07/2022","186.41","184.45","186.64","184.22","26.97M","1.49%"
"03/04/2022","183.68","182.11","183.98","181.36","22.41M","1.59%"
"03/03/2022","180.80","179.96","181.30","179.50","15.16M","0.60%"
