Time,Mempool_size
2020-06-27,12921919.255208334
2020-06-28,3338972.4479166665
2020-06-29,3338972.4479166665
2020-06-30,8448341.34375
2020-07-01,8448341.34375
2020-07-02,6586705.84375
2020-07-03,6586705.84375
2020-07-04,7493385.828125
2020-07-05,7493385.828125
2020-07-06,2873888.4114583335
2020-07-07,2873888.4114583335
2020-07-08,8041724.364583333
2020-07-09,8041724.364583333
2020-07-10,8041724.364583333
2020-07-11,6423172.479166667
2020-07-12,6423172.479166667
2020-07-13,1294973.09375
2020-07-14,1294973.09375
2020-07-15,19687256.786458332
2020-07-16,19687256.786458332
2020-07-17,29588658.713541668
2020-07-18,29588658.713541668
2020-07-19,36940983.057291664
2020-07-20,36940983.057291664
2020-07-21,46743761.380208336
2020-07-22,46743761.380208336
2020-07-23,46743761.380208336
2020-07-24,71174750.046875
2020-07-25,71174750.046875
2020-07-26,47080995.901041664
2020-07-27,47080995.901041664
2020-07-28,43037757.875
2020-07-29,43037757.875
2020-07-30,51918791.09375
2020-07-31,51918791.09375
2020-08-01,66370545.833333336
2020-08-02,66370545.833333336
2020-08-03,42669282.984375
2020-08-04,42669282.984375
2020-08-05,42669282.984375
2020-08-06,39559448.125
2020-08-07,39559448.125
2020-08-08,43728294.598958336
2020-08-09,43728294.598958336
2020-08-10,3513944.890625
2020-08-11,3513944.890625
2020-08-12,11715922.234375
2020-08-13,11715922.234375
2020-08-14,9827756.510416666
2020-08-15,9827756.510416666
2020-08-16,2550502.2552083335
2020-08-17,2550502.2552083335
2020-08-18,2550502.2552083335
2020-08-19,31467272.703125
2020-08-20,31467272.703125
2020-08-21,21156465.776041668
2020-08-22,21156465.776041668
2020-08-23,18894771.34375
2020-08-24,18894771.34375
2020-08-25,27996667.145833332
2020-08-26,27996667.145833332
2020-08-27,39873231.276041664
2020-08-28,39873231.276041664
2020-08-29,25628898.088541668
2020-08-30,25628898.088541668
2020-08-31,25628898.088541668
2020-09-01,11570787.244791666
2020-09-02,11570787.244791666
2020-09-03,26480367.229166668
2020-09-04,26480367.229166668
2020-09-05,57522143.28125
2020-09-06,57522143.28125
2020-09-07,10600672.942708334
2020-09-08,10600672.942708334
2020-09-09,4714848.380208333
2020-09-10,4714848.380208333
2020-09-11,13613857.713541666
2020-09-12,13613857.713541666
2020-09-13,13613857.713541666
2020-09-14,1698749.8541666667
2020-09-15,1698749.8541666667
2020-09-16,14858471.333333334
2020-09-17,14858471.333333334
2020-09-18,2969220.21875
2020-09-19,2969220.21875
2020-09-20,2412037.515625
2020-09-21,2412037.515625
